lumpy,x,y,cld,dtr,frs,pet,pre,tmn
0,64.75,59.25,60.7,7.0,31.0,0.1,14.8,-20.9
0,30.25,-3.25,83.4,10.6,0.0,2.8,112.6,15.1
0,96.75,62.75,74.5,7.1,31.0,0.0,17.3,-36.7
0,134.75,67.75,52.1,6.4,31.0,0.0,4.0,-46.2
0,101.25,41.25,28.8,13.2,31.0,0.1,0.5,-22.2
0,77.25,66.75,92.9,6.6,31.0,0.0,27.6,-25.0
0,101.25,55.25,62.3,10.6,31.0,0.0,9.4,-31.8
0,96.25,38.25,35.1,14.9,31.0,0.6,0.7,-30.2
0,74.75,33.75,72.6,8.1,26.58,1.0,41.7,-5.3
0,39.25,36.25,59.9,10.2,11.04,1.2,35.4,2.6
0,43.25,42.75,70.6,9.6,31.0,0.6,59.9,-14.1
0,103.25,62.75,73.3,8.7,31.0,0.0,11.9,-38.7
0,142.75,61.25,52.8,7.6,31.0,0.0,7.4,-38.4
0,66.75,49.25,39.6,8.5,31.0,0.1,8.6,-23.7
0,66.25,68.25,95.0,6.0,31.0,0.2,13.7,-27.0
0,125.75,47.75,29.5,9.9,31.0,0.0,1.0,-27.9
0,86.25,37.75,41.1,14.8,31.0,0.8,0.9,-22.6
0,76.75,26.75,39.6,14.8,1.91,2.2,1.4,7.1
0,87.75,28.75,35.6,19.1,31.0,1.3,3.3,-19.7
1,49.0166,53.2418,71.9,6.2,31.0,0.1,45.1,-15.0
0,117.25,59.25,71.1,8.7,31.0,0.1,8.2,-37.4
0,40.25,37.25,61.0,9.5,14.72,1.1,57.1,1.2
0,111.75,73.75,63.6,5.9,31.0,0.0,24.4,-37.6
0,117.75,65.25,70.5,7.5,31.0,0.0,12.3,-35.2
0,119.25,52.25,31.4,13.5,31.0,0.1,1.6,-36.8
0,140.25,70.25,55.8,6.9,31.0,0.0,13.3,-44.9
0,50.25,36.25,56.6,9.3,26.58,0.9,46.9,-5.3
1,46.526018,42.018563,68.8,8.1,31.0,0.6,38.4,-15.6
0,99.25,69.75,59.4,7.2,31.0,0.1,21.1,-34.9
0,23.25,41.25,77.6,6.7,22.01,0.7,29.3,-1.6
0,113.25,27.75,78.7,4.4,17.39,1.2,51.7,0.2
0,48.75,37.25,57.5,9.6,29.93,0.8,36.1,-9.8
0,72.75,62.75,73.2,6.4,31.0,0.1,24.8,-24.0
0,102.25,31.25,50.0,15.6,30.34,1.5,1.3,-10.7
0,131.75,56.75,58.5,9.1,31.0,0.0,8.2,-39.4
0,116.75,24.75,72.2,7.1,7.38,1.7,12.9,4.1
0,158.75,66.25,77.2,8.6,31.0,0.1,13.2,-34.4
0,88.25,42.25,32.2,11.0,31.0,0.5,1.4,-20.4
1,25.4281,40.0156,69.3,5.9,6.49,1.3,74.6,4.5
1,20.0152,41.57542,81.0,6.6,24.49,0.8,79.1,-3.3
0,118.25,39.75,23.6,11.6,30.99,0.9,0.0,-13.7
1,19.532263,42.840756,78.7,5.8,27.59,0.9,65.2,-6.4
0,46.75,42.25,68.8,8.1,31.0,0.6,38.4,-15.6
0,154.75,60.75,71.3,8.0,31.0,0.1,16.7,-31.1
0,59.75,29.25,39.9,14.7,6.93,2.2,8.1,4.3
0,74.25,21.25,16.5,17.8,0.0,3.4,0.3,11.3
0,98.25,69.75,60.6,7.4,31.0,0.0,21.0,-36.0
0,59.75,27.25,40.8,12.9,0.02,2.4,5.1,9.7
0,56.25,65.75,76.1,7.1,31.0,0.1,35.9,-21.0
0,16.25,-16.25,71.3,13.5,0.0,4.0,118.0,17.6
0,39.75,58.25,87.6,6.3,31.0,0.1,38.9,-14.1
1,19.711566,40.95833,71.9,8.4,8.31,1.1,112.3,3.7
0,116.25,30.75,62.6,7.2,25.68,1.6,20.6,-4.4
0,113.75,54.75,48.8,12.2,31.0,0.1,0.5,-36.2
1,45.5638,43.2286,81.6,6.2,25.68,0.4,23.6,-4.4
0,103.75,55.25,62.7,9.9,31.0,0.0,10.1,-34.6
0,113.25,44.25,27.0,10.9,31.0,0.2,0.9,-26.9
0,121.25,71.75,64.9,5.9,31.0,0.0,17.3,-40.5
0,134.25,61.25,63.7,6.5,31.0,0.0,5.3,-42.4
0,131.75,63.75,69.8,6.3,31.0,0.0,3.7,-44.4
0,53.75,48.75,59.1,8.5,31.0,0.3,12.7,-15.4
0,107.75,24.25,89.4,3.4,3.91,1.4,18.5,5.8
0,103.25,54.75,63.1,9.8,31.0,0.0,10.7,-33.5
0,121.25,72.25,65.0,5.9,31.0,0.0,17.5,-41.1
1,40.6548,53.2186,80.9,5.9,30.82,0.1,45.3,-12.3
0,95.25,35.25,37.6,14.2,31.0,0.9,0.8,-23.6
0,168.25,66.75,66.4,10.1,31.0,0.1,13.9,-33.5
0,36.25,60.25,92.5,6.5,31.0,0.0,70.0,-14.6
1,20.297327,41.142503,79.1,7.1,24.03,0.8,80.6,-2.9
0,135.25,70.25,52.3,6.3,31.0,0.0,10.4,-46.5
0,95.25,61.75,74.8,7.7,31.0,0.0,18.9,-34.4
0,141.25,60.25,51.7,6.8,31.0,0.1,11.9,-33.1
0,59.75,58.25,69.5,7.0,31.0,0.0,24.0,-19.2
0,49.75,33.75,53.1,10.6,28.63,1.0,47.8,-7.7
0,117.25,25.75,72.5,7.4,12.33,1.5,20.1,2.1
0,31.75,57.75,92.0,5.7,30.03,0.0,65.7,-10.0
0,78.75,50.75,45.4,9.8,31.0,0.1,5.3,-25.6
0,111.75,61.25,76.8,8.4,31.0,0.1,12.3,-35.1
0,66.75,42.25,58.4,9.3,27.92,0.8,16.5,-6.8
0,84.75,67.25,86.9,5.7,31.0,0.0,35.1,-26.9
0,95.25,18.25,24.8,12.1,0.0,3.0,4.4,17.6
0,54.25,73.75,73.8,9.1,31.0,0.0,17.6,-28.4
0,115.75,24.75,73.9,7.4,8.55,1.7,17.2,3.6
0,51.25,64.75,77.1,6.8,31.0,0.0,36.3,-20.2
0,101.75,60.75,73.1,9.7,31.0,0.0,10.4,-38.0
0,160.75,61.25,74.1,8.1,31.0,0.0,18.5,-26.5
0,95.75,23.75,27.2,12.1,0.0,2.2,15.5,11.8
0,69.25,63.75,79.4,5.7,31.0,0.0,21.8,-23.4
0,82.75,66.75,88.7,5.6,31.0,0.0,34.4,-25.8
0,99.25,25.75,27.8,12.3,20.77,1.8,33.7,-1.1
